filepath,filename,modality,vocal_channel,emotion_code,emotion_label,intensity,statement,repetition,actor,duration_sec,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,delta_mfcc_1_mean,delta_mfcc_2_mean,delta_mfcc_3_mean,delta_mfcc_4_mean,delta_mfcc_5_mean,delta_mfcc_6_mean,delta_mfcc_7_mean,delta_mfcc_8_mean,delta_mfcc_9_mean,delta_mfcc_10_mean,delta_mfcc_11_mean,delta_mfcc_12_mean,delta_mfcc_13_mean,pitch_mean_hz,pitch_std_hz,pitch_range_hz,voiced_fraction,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_rolloff_mean,spectral_contrast_mean,zcr_mean,zcr_std,rms_energy_mean,rms_energy_std,rms_energy_max,chroma_mean,chroma_std,tempo_bpm,speech_ratio,silence_ratio,num_segments
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,03,01,01,neutral,normal,kids,01,01,3.3033,-697.792603,183.030441,54.890041,72.16848,0.663465,19.195799,12.435786,20.930754,7.733951,17.33931,0.53075,13.761338,-3.216631,10.853388,-3.159394,11.505454,-10.977551,17.019814,-2.848711,8.8651,0.815297,8.669751,-3.037067,9.678136,1.955446,9.780213,-0.002539,-0.003584,-0.003573,-0.003554,-0.003528,-0.003495,-0.003454,-0.003406,-0.003352,-0.003291,-0.003223,-0.003148,-0.003068,278.482,413.8257,2139.7633,1.0,3470.9377,1732.3159,2628.2436,6330.3853,19.4233,0.372712,0.267766,0.002256,0.003289,0.012585,0.598354,0.295375,80.7495,0.3936,0.6064,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,03,01,01,neutral,normal,kids,02,01,3.3367,-692.855774,185.050293,55.363895,66.308495,-1.548319,19.290407,16.038307,19.345299,8.81881,17.269623,-0.146586,12.09633,-1.373392,10.994115,-5.29318,11.992072,-11.623182,17.111732,-1.348284,8.362707,0.843714,9.127845,-2.641278,9.430248,1.01725,9.277678,0.003856,0.005429,0.005349,0.005219,0.005043,0.004827,0.004578,0.004303,0.004012,0.003713,0.003413,0.003119,0.002838,285.5701,486.6935,2139.7633,1.0,3264.8353,1519.0706,2675.8361,6237.1521,19.8836,0.380551,0.271137,0.002419,0.003526,0.013047,0.578001,0.298424,161.499,0.3897,0.6103,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,03,01,01,neutral,normal,dogs,01,01,3.2699,-691.587891,190.336136,58.024662,72.184822,0.159464,21.651525,13.62465,19.525526,5.374113,16.699017,1.162336,14.556362,-2.083359,9.847621,-5.382585,13.118762,-10.332824,16.662123,-3.662081,9.16027,0.560601,9.703084,-2.838226,8.179122,1.834785,9.952106,-0.017165,-0.023992,-0.023197,-0.02198,-0.020431,-0.018589,-0.01645,-0.014028,-0.0114,-0.008717,-0.006149,-0.003822,-0.001784,325.7077,525.5341,1983.4052,1.0,3233.8961,1558.6057,2633.346,6180.4875,19.5833,0.399123,0.287049,0.002809,0.004224,0.017971,0.590222,0.298249,80.7495,0.3906,0.6094,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,03,01,01,neutral,normal,dogs,02,01,3.1698,-685.105469,184.565063,55.879421,66.488152,2.783262,20.100769,13.252023,20.778818,6.989669,16.527094,2.981274,12.170572,-1.586029,8.940962,-6.961661,14.407002,-10.348489,14.485897,-3.270769,8.596281,1.176165,8.642621,-1.498656,8.127196,0.55155,7.379322,-0.07447,-0.054432,0.017543,0.016333,-0.022307,-0.018985,0.036562,0.070207,0.031477,-0.011677,0.00356,0.028405,0.014085,266.6353,464.3044,1958.4898,1.0,3114.6553,1433.826,2675.4023,6165.4905,19.796,0.39693,0.277524,0.002617,0.004103,0.018385,0.572797,0.281639,64.5996,0.3882,0.6118,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,03,01,02,calm,normal,kids,01,01,3.5369,-727.10437,182.821884,62.355034,68.404228,3.121181,22.141096,15.064671,20.880312,8.132434,18.506634,1.927084,12.202988,-3.274657,12.599708,-3.761791,10.263984,-9.750299,13.529635,-4.853837,9.228117,0.996316,11.612597,-3.11607,8.898349,0.54632,7.958459,-0.067574,-0.094344,-0.091066,-0.086564,-0.081502,-0.075972,-0.069656,-0.062364,-0.054408,-0.046482,-0.039178,-0.032622,-0.026578,364.7158,558.2066,2139.7633,1.0,3226.498,1626.0663,2629.6985,6070.0411,19.3234,0.356985,0.276072,0.001653,0.00244,0.010988,0.561585,0.303143,117.4538,0.4399,0.5601,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav,03,01,02,calm,normal,kids,02,01,3.6036,-707.358215,169.380035,66.736465,73.044151,2.253489,22.743551,11.169915,19.891697,9.742079,18.055927,1.058092,10.875058,-4.426186,12.005172,-4.683615,9.763992,-8.313273,12.493773,-4.813666,9.619912,1.752557,9.512518,-2.376542,8.573195,-0.20692,8.167938,0.003496,0.004926,0.004863,0.004759,0.004615,0.004432,0.004211,0.003956,0.003667,0.003349,0.003004,0.002636,0.002248,396.1395,616.018,2139.7633,1.0,3167.7904,1737.527,2569.8323,5815.5522,19.5932,0.322297,0.270639,0.001752,0.002526,0.012936,0.594159,0.304558,107.666,0.4575,0.5425,2
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav,03,01,02,calm,normal,dogs,01,01,3.5035,-697.166138,195.661469,65.1082,77.897346,0.930368,25.643011,13.633627,20.614906,5.959596,18.188311,2.89507,14.160908,-1.341819,9.612059,-4.775753,12.725714,-8.671515,14.76229,-4.552999,10.122959,1.970605,11.672997,-1.627646,8.155058,1.426726,7.828589,-0.004166,-0.005882,-0.005859,-0.005822,-0.00577,-0.005704,-0.005624,-0.005531,-0.005425,-0.005306,-0.005176,-0.005036,-0.004885,359.6499,564.8327,2139.7633,1.0,3240.736,1791.8486,2520.1618,5997.9953,20.2669,0.365393,0.284983,0.002621,0.003388,0.011927,0.567082,0.315207,161.499,0.4573,0.5427,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav,03,01,02,calm,normal,dogs,02,01,3.4702,-698.637695,196.158676,68.698586,75.416084,1.100366,22.913021,13.685943,19.570843,8.338751,15.341243,2.067121,11.685598,-0.616791,9.485641,-5.732325,13.256089,-7.861324,13.271609,-4.411918,9.734059,1.011473,10.683794,-1.705865,7.825833,1.593434,7.857129,0.004229,0.006319,0.00671,0.005968,0.003676,0.000733,-0.001441,-0.002221,-0.002252,-0.002695,-0.004069,-0.005849,-0.007095,221.3484,395.5967,1927.316,1.0,3093.2788,1682.0179,2561.4496,5886.7471,20.2451,0.394251,0.307608,0.00267,0.00362,0.013089,0.562681,0.311039,103.3594,0.4416,0.5584,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,03,01,02,calm,strong,kids,01,01,3.7037,-734.12561,190.54306,70.532913,71.599319,4.225179,20.327414,13.866501,21.240458,9.276525,19.032845,1.84203,11.794949,-3.709106,12.667124,-2.884508,9.233495,-6.332503,10.060332,-4.483915,10.108629,2.006491,10.030538,-0.029675,7.469136,-0.178591,6.91734,0.020365,0.027985,0.025953,0.023493,0.020976,0.018312,0.015592,0.013402,0.012329,0.012354,0.01295,0.01372,0.014672,312.2366,511.6576,1951.7071,1.0,3168.729,1775.868,2571.0892,5814.5032,19.7452,0.3,0.253018,0.001501,0.001883,0.008056,0.589581,0.297501,117.4538,0.4827,0.5173,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav,03,01,02,calm,strong,kids,02,01,4.004,-697.822327,173.384033,67.339592,72.69619,-0.449551,21.242195,11.884349,18.541895,6.899115,18.339193,0.572389,13.525476,-4.550376,13.627183,-6.025094,10.029312,-7.934866,11.336019,-4.872441,10.258248,2.674752,11.372946,-1.46447,8.543459,-1.108631,7.043978,-1e-06,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,293.9358,452.9487,1907.1927,1.0,3137.0632,1725.0867,2513.6632,5651.2834,19.819,0.329914,0.277894,0.001613,0.002081,0.010385,0.565817,0.29636,73.8281,0.4987,0.5013,2
