feature,storytelling_mean,storytelling_std,conv_mean,conv_std,t_statistic,p_value,cohens_d,significant
rms_energy_std,0.02112,0.01157,0.01226,0.00553,7.2779,0.0,0.977,True
rms_energy_mean,0.01887,0.00982,0.0115,0.00501,6.9658,0.0,0.9451,True
tempo_bpm,125.71654,34.68165,136.14582,31.70432,-2.0577,0.041773,-0.3139,True
zcr_mean,0.22237,0.06519,0.23188,0.05828,-1.0137,0.312717,-0.1539,False
pitch_range_hz,2050.16868,142.08048,2067.16034,124.51157,-0.8412,0.40182,-0.1272,False
spectral_centroid_mean,2735.72234,349.7537,2696.63497,292.09311,0.8104,0.419148,0.1213,False
duration_sec,4.69876,0.51279,4.64855,0.42396,0.7145,0.476152,0.1067,False
pitch_mean_hz,502.06901,127.14759,492.08988,114.99866,0.5408,0.589607,0.0823,False
speech_ratio,0.57324,0.05529,0.57601,0.04058,-0.3918,0.695751,-0.0571,False
silence_ratio,0.42676,0.05529,0.42399,0.04058,0.3918,0.695751,0.0571,False
pitch_std_hz,556.05642,131.741,558.92091,145.54079,-0.1302,0.896649,-0.0206,False
voiced_fraction,1.0,0.0,1.0,0.0,,,0.0,False
